"tbodyaccmeanx" "tbodyaccmeany" "tbodyaccmeanz" "tbodyaccstdx" "tbodyaccstdy" "tbodyaccstdz" "tgravityaccmeanx" "tgravityaccmeany" "tgravityaccmeanz" "tgravityaccstdx" "tgravityaccstdy" "tgravityaccstdz" "tbodyaccjerkmeanx" "tbodyaccjerkmeany" "tbodyaccjerkmeanz" "tbodyaccjerkstdx" "tbodyaccjerkstdy" "tbodyaccjerkstdz" "tbodygyromeanx" "tbodygyromeany" "tbodygyromeanz" "tbodygyrostdx" "tbodygyrostdy" "tbodygyrostdz" "tbodygyrojerkmeanx" "tbodygyrojerkmeany" "tbodygyrojerkmeanz" "tbodygyrojerkstdx" "tbodygyrojerkstdy" "tbodygyrojerkstdz" "subject" "activity"
"11" 0.27688027 -0.012721805 -0.10343832 -0.99481511 -0.97307692 -0.98535702 0.96920266 -0.15236144 0.081258077 -0.99726455 -0.98648794 -0.99469268 0.07139686 0.016842441 0.0010303821 -0.99123356 -0.97326434 -0.98501751 -0.024708255 -0.068884585 0.085481775 -0.98466387 -0.98821559 -0.98090404 -0.099442952 -0.032515146 -0.045512651 -0.98591085 -0.99371782 -0.98476218 1 "standing"
"12" 0.27622817 -0.021441302 -0.10820234 -0.99824595 -0.98721376 -0.99272659 0.96925328 -0.15006376 0.082931213 -0.99812719 -0.99482045 -0.99230114 0.076084514 -0.0023115579 -0.0076736296 -0.99817933 -0.98978834 -0.98953173 -0.031173158 -0.074666711 0.091577535 -0.99416933 -0.99556652 -0.99579097 -0.094207555 -0.040316155 -0.057682038 -0.99571697 -0.9975568 -0.99655031 1 "standing"
"13" 0.278457 -0.020414761 -0.11273172 -0.99913488 -0.98468004 -0.99627424 0.9689963 -0.1523621 0.083150803 -0.99915165 -0.98730738 -0.99361292 0.077102002 0.017027167 -0.00098523943 -0.99919161 -0.99013839 -0.99282486 -0.029168611 -0.075944066 0.086183519 -0.99544544 -0.9971092 -0.99586602 -0.098994495 -0.040496948 -0.054137882 -0.99602372 -0.99888814 -0.99789314 1 "standing"
"14" 0.27717497 -0.014712802 -0.10675647 -0.99918834 -0.99052638 -0.99336501 0.96904398 -0.15414125 0.081819604 -0.99957758 -0.99425118 -0.99511053 0.07761238 0.019489223 0.015207683 -0.99698535 -0.99236956 -0.9930363 -0.027087093 -0.071831343 0.083622237 -0.99761834 -0.99760953 -0.99617388 -0.10048744 -0.042113616 -0.053738021 -0.99751236 -0.99826836 -0.99637756 1 "standing"
"15" 0.29794572 0.027093908 -0.061668123 -0.98864079 -0.8166986 -0.90190653 0.94489486 -0.29262334 -0.021435523 -0.9640453 -0.81461226 -0.86787383 0.066656163 -0.068367084 -0.033607601 -0.99027112 -0.98429137 -0.99104766 -0.010548201 0.15705425 -0.17452147 -0.97753165 -0.94186755 -0.91159041 -0.084175874 -0.080866451 0.0075315612 -0.98467008 -0.99282912 -0.98983733 1 "standing"
"16" 0.27920345 -0.023020143 -0.12208028 -0.99683904 -0.97484812 -0.98338551 0.95201342 -0.26311695 -0.0035761635 -0.99509379 -0.97591253 -0.97119457 0.074659313 -0.0012810862 -0.026636672 -0.99505528 -0.99527456 -0.99513244 -0.015810859 0.027702205 -0.02694145 -0.98874836 -0.96725751 -0.93401801 -0.099860486 -0.057413011 -0.022366509 -0.99476086 -0.99694746 -0.9966766 1 "standing"
"17" 0.27903836 -0.014800378 -0.11684896 -0.99694116 -0.98186562 -0.98257653 0.95272437 -0.26509148 -0.0077089922 -0.99928053 -0.99197906 -0.97103653 0.076711586 0.012251865 0.010057325 -0.99481489 -0.99243002 -0.99605297 -0.013406816 -0.046264419 0.060933625 -0.98911045 -0.98218028 -0.97436137 -0.094790394 -0.05064817 -0.034809761 -0.99563871 -0.99702529 -0.99496175 1 "standing"
"18" 0.2801349 -0.013916951 -0.10637048 -0.99769492 -0.98751567 -0.99040744 0.95306401 -0.26471825 -0.011556695 -0.99863217 -0.99238313 -0.99072749 0.07525447 0.015419535 0.016625946 -0.99497881 -0.99145508 -0.99562514 -0.012725097 -0.077761376 0.094503668 -0.9891964 -0.9897621 -0.98196822 -0.10533471 -0.046139602 -0.046398495 -0.99646489 -0.99736626 -0.99343448 1 "standing"
"19" 0.27773106 -0.018210718 -0.10918803 -0.99749074 -0.99322197 -0.99612795 0.95360569 -0.26305774 -0.011094388 -0.9987754 -0.99697129 -0.99493392 0.075021356 0.0042103143 -0.0051048322 -0.99576851 -0.99245139 -0.99513475 -0.02464236 -0.087790863 0.10782187 -0.99128786 -0.99769748 -0.99533142 -0.10413693 -0.041083288 -0.054341093 -0.99617306 -0.99845498 -0.99594305 1 "standing"
"20" 0.27556818 -0.016979698 -0.11142918 -0.99781139 -0.9905223 -0.99762104 0.95359464 -0.26348997 -0.011425851 -0.9987486 -0.99585747 -0.99422799 0.076113384 0.01842771 -0.0060482131 -0.99667367 -0.99275996 -0.99654064 -0.029461913 -0.084376762 0.10074789 -0.99590036 -0.99754503 -0.99504298 -0.097122835 -0.039561886 -0.054821896 -0.99662474 -0.99929097 -0.99715752 1 "standing"
"21" 0.27756171 -0.014318487 -0.10787724 -0.99790424 -0.99431129 -0.99595166 0.95313551 -0.2634369 -0.012458678 -0.9990282 -0.99464403 -0.99675098 0.075342269 0.018055718 -0.0049718288 -0.99611698 -0.99343265 -0.9939722 -0.029814933 -0.078706495 0.093773469 -0.99747587 -0.99822808 -0.99813809 -0.096999665 -0.039383672 -0.055209671 -0.99721308 -0.99885611 -0.99589195 1 "standing"
"22" 0.27715238 -0.017983328 -0.10660117 -0.99776322 -0.98995727 -0.99658567 0.95318325 -0.26189643 -0.012015606 -0.99904052 -0.99499448 -0.99536331 0.073413536 0.0045245992 -0.005894406 -0.99550617 -0.98680662 -0.99249984 -0.02917889 -0.07955402 0.094585279 -0.99758401 -0.99864863 -0.99768157 -0.097217687 -0.040646212 -0.054870288 -0.99666843 -0.99847664 -0.99586503 1 "standing"
"23" 0.2756763 -0.021264234 -0.11080122 -0.99786211 -0.99009076 -0.99459257 0.95309294 -0.26245862 -0.011512171 -0.99833263 -0.99198868 -0.99706732 0.076943687 0.005482978 0.0016020823 -0.9956916 -0.98292126 -0.99269663 -0.028153699 -0.076118947 0.088998758 -0.99808137 -0.9975863 -0.99486246 -0.097980589 -0.039427698 -0.055537897 -0.99731648 -0.99855988 -0.99636971 1 "standing"
"24" 0.2792002 -0.017714427 -0.10916135 -0.99838929 -0.98730784 -0.99083159 0.95273161 -0.26500697 -0.012703514 -0.99849937 -0.99227999 -0.99292597 0.078642693 0.016503342 -4.8515198e-05 -0.99671667 -0.98591724 -0.99281698 -0.027220935 -0.069195151 0.079055228 -0.99833703 -0.99820829 -0.99598691 -0.097053649 -0.039995777 -0.059039117 -0.99779214 -0.99830456 -0.99575499 1 "standing"
"25" 0.28171549 -0.011910678 -0.10287513 -0.99853388 -0.98848901 -0.99318367 0.9532188 -0.2650432 -0.013126421 -0.99749379 -0.99145541 -0.99475932 0.074924981 0.0099539071 0.00068788567 -0.99683571 -0.98672319 -0.99262375 -0.024960701 -0.071607144 0.080856127 -0.99624819 -0.99767145 -0.99406934 -0.096984078 -0.040981257 -0.056018736 -0.99692766 -0.99810702 -0.99400441 1 "standing"
"26" 0.27899267 -0.014531029 -0.10659617 -0.99805969 -0.98606983 -0.99342424 0.95419361 -0.26194319 -0.011180786 -0.99796817 -0.98848774 -0.99047056 0.074219489 0.0044872377 0.0069293456 -0.99605338 -0.98671816 -0.99156012 -0.027372739 -0.0753043 0.088552726 -0.9935398 -0.99742925 -0.99505457 -0.097154466 -0.039321883 -0.051857918 -0.99574247 -0.99798917 -0.99445348 1 "standing"
"27" 0.27573444 -0.01801884 -0.10677578 -0.99925496 -0.99366888 -0.9941888 0.95458893 -0.26049928 -0.0099594009 -0.99900508 -0.99730066 -0.99773765 0.073460968 0.01837229 0.001436324 -0.99656406 -0.98927805 -0.99108795 -0.030529617 -0.074705186 0.089415593 -0.99433322 -0.99747657 -0.9967981 -0.10226052 -0.040127012 -0.052669203 -0.99543855 -0.99754026 -0.99537407 1 "standing"
"28" 0.14450396 0.18926326 0.062769317 -0.90429967 -0.18193654 -0.44315051 0.87409866 0.042479149 0.33309449 -0.81418938 -0.25461649 -0.34244329 0.13805762 -0.34777099 -0.33527233 -0.98122357 -0.96614228 -0.98349118 -0.046489666 -0.28289794 0.22948437 -0.9733557 -0.97220339 -0.9171989 -0.11571413 -0.066663019 0.01633599 -0.98520162 -0.98666522 -0.98196657 1 "sitting"
"29" 0.28725164 -0.037455064 -0.14597431 -0.98291504 -0.89160489 -0.94143811 0.83566368 0.16067501 0.39982173 -0.96038769 -0.89611252 -0.91088155 0.089548399 -0.034317974 0.0030597368 -0.99243453 -0.98825647 -0.99383772 -0.04840838 -0.23917386 0.24705037 -0.99422554 -0.97536842 -0.9688802 -0.094242126 -0.022414444 -0.06697056 -0.99703744 -0.99794847 -0.99666202 1 "sitting"
"30" 0.2799976 -0.019484036 -0.10572355 -0.99281839 -0.94035041 -0.98149266 0.83695957 0.15187734 0.38646765 -0.98263913 -0.94642426 -0.96440037 0.071215441 0.044244119 0.020358157 -0.9946122 -0.99291965 -0.99189025 -0.039411936 -0.16674787 0.18301929 -0.99564427 -0.97823105 -0.96663998 -0.095291208 -0.026020031 -0.078193929 -0.99807729 -0.99817308 -0.99835245 1 "sitting"
"31" 0.22184689 0.034107675 -0.12361242 -0.81470826 -0.749418 -0.57189889 0.83878762 0.15070183 0.38345181 -0.99203824 -0.96233892 -0.96232958 -0.013591322 0.12068585 0.22870415 -0.88383041 -0.85460677 -0.91135086 -0.037731641 0.021333829 0.076579313 -0.73087388 -0.49964946 -0.56901637 -0.016521407 -0.065023681 -0.15063907 -0.89380459 -0.88147183 -0.85853561 1 "sitting"
"32" -0.041701306 0.17510248 0.025551778 -0.75839283 -0.58653735 -0.43911019 0.81080506 0.19559534 0.38713197 -0.80474333 -0.73280728 -0.84969761 0.050456562 0.090830365 0.0053317431 -0.85803037 -0.84002483 -0.8962204 -0.0038232806 0.019187316 -0.050212092 -0.72058157 -0.48896854 -0.50932463 -0.095521677 -0.067817006 -0.040522627 -0.88630796 -0.87419654 -0.84808876 1 "sitting"
"33" 0.013903671 0.15329608 0.016242945 -0.80863778 -0.57274619 -0.62641542 0.70308608 0.31406786 0.43977403 -0.59632839 -0.53455402 -0.64299102 0.17843808 -0.11966443 -0.25914034 -0.92242832 -0.93646888 -0.95518789 -0.0045972195 -0.15669611 0.060405191 -0.92572959 -0.89701675 -0.72055919 -0.18174043 -0.014079617 0.047204388 -0.9636738 -0.95824501 -0.9490345 1 "sitting"
"34" 0.30368927 -0.0042428053 -0.15085028 -0.95650333 -0.83867155 -0.94300953 0.6182581 0.40950272 0.4812985 -0.90544971 -0.85046281 -0.91527246 0.098998778 -0.074612565 -0.0073366086 -0.98969999 -0.98115962 -0.99574605 -0.042681542 -0.15263343 0.20315388 -0.99621609 -0.97820247 -0.97771988 -0.10305335 -0.011939118 -0.062791658 -0.99592893 -0.98907867 -0.99323089 1 "sitting"
"35" 0.29075969 -0.02403476 -0.11673889 -0.97737449 -0.96384053 -0.96250503 0.6220655 0.41986657 0.46862799 -0.95196097 -0.96299035 -0.94159828 0.062975489 0.03415889 0.033170611 -0.99358012 -0.99102301 -0.9989028 -0.041556713 -0.11325798 0.1566043 -0.99813599 -0.99054256 -0.97702357 -0.095537878 -0.035066258 -0.068364914 -0.99918853 -0.99412613 -0.99735654 1 "sitting"
"36" 0.27090823 -0.014412968 -0.10652245 -0.99385604 -0.9931787 -0.9934703 0.62745102 0.41503721 0.46423103 -0.98694934 -0.99214128 -0.98848719 0.075591498 0.011694892 -0.0072211967 -0.99740715 -0.99211449 -0.99739047 -0.035457677 -0.091001714 0.11779396 -0.99673098 -0.99424221 -0.98667882 -0.095751535 -0.036409127 -0.065751415 -0.99879597 -0.99464491 -0.99681566 1 "sitting"
"37" 0.2795534 -0.017001147 -0.11051668 -0.99607594 -0.99578152 -0.99822168 0.62532313 0.41648854 0.46494774 -0.99505769 -0.9965211 -0.99381054 0.072773826 0.0035293806 -0.00060033363 -0.99646841 -0.99119252 -0.99673754 -0.030919137 -0.074625079 0.094283835 -0.99909646 -0.99291725 -0.99092483 -0.096390151 -0.03903317 -0.061621011 -0.99873284 -0.99459335 -0.99532203 1 "sitting"
"38" 0.27635864 -0.016138088 -0.10803259 -0.99557733 -0.99454385 -0.99454372 0.62577398 0.4168573 0.46439573 -0.99616079 -0.99837049 -0.9954126 0.076218027 0.0094053857 -0.0080907158 -0.99488413 -0.99050354 -0.99724301 -0.028201987 -0.072296089 0.084889322 -0.99834012 -0.99422482 -0.99602129 -0.09732419 -0.042724214 -0.056653466 -0.99860547 -0.99482467 -0.99451645 1 "sitting"
"39" 0.23715407 0.0078251224 -0.12283791 -0.97995358 -0.86619341 -0.96829047 0.89093772 0.11359108 0.33032214 -0.93882287 -0.87952195 -0.96472588 0.075301588 0.082650327 -0.0089599647 -0.98434397 -0.97182661 -0.98618311 -0.22503946 -0.13315886 -0.59416576 -0.95390955 -0.97297342 -0.84095619 -0.076136273 -0.023511625 0.048746095 -0.99218252 -0.99252142 -0.99244534 1 "sitting"
"40" 0.2731084 0.0065181116 -0.10947182 -0.99078294 -0.93506515 -0.99072156 0.87653997 0.12558056 0.32520586 -0.97677857 -0.91534904 -0.99164161 0.084520112 -0.018946735 0.0076682065 -0.99051461 -0.99076345 -0.99205386 -0.14933808 -0.10757556 -0.28657183 -0.94503475 -0.98871206 -0.83657336 -0.060468253 -0.047491065 0.053835275 -0.99831777 -0.99404793 -0.99635394 1 "sitting"
"41" 0.28150539 -0.018434859 -0.11139287 -0.99546804 -0.98433022 -0.99099514 0.87482213 0.14006721 0.32441057 -0.99404779 -0.98811386 -0.99610975 0.082081964 -0.0058534975 0.0032024153 -0.99447393 -0.99227559 -0.99127045 -0.079366112 -0.094869929 -0.040538466 -0.96234359 -0.98868112 -0.90097784 -0.074240872 -0.03881165 0.0044609208 -0.99784305 -0.99528855 -0.99621464 1 "sitting"
"42" 0.27843225 -0.019654302 -0.10797029 -0.99439029 -0.98456278 -0.99198578 0.8764618 0.1392361 0.32357956 -0.99725489 -0.98846264 -0.99715923 0.07268307 0.019739112 0.004014346 -0.99264049 -0.99064198 -0.99159452 -0.037824733 -0.07652653 0.074576303 -0.98300305 -0.99349202 -0.97544897 -0.086175374 -0.040941551 -0.041286479 -0.99708794 -0.99492132 -0.99763961 1 "sitting"
"43" 0.2733796 -0.0099401064 -0.10839283 -0.9955058 -0.98176748 -0.99347363 0.87645385 0.13843401 0.3233988 -0.99760938 -0.98843377 -0.99884243 0.072130253 0.019920529 -0.0014860567 -0.99387916 -0.9902451 -0.99233342 -0.0210748 -0.072633665 0.11579647 -0.99429125 -0.99472922 -0.98163073 -0.093413419 -0.040875199 -0.043482017 -0.99756387 -0.99580404 -0.99685086 1 "sitting"
"44" 0.27905615 -0.01626097 -0.11281565 -0.99501877 -0.97044631 -0.98926612 0.87538094 0.14222283 0.32351271 -0.99668022 -0.98347532 -0.99915781 0.076807626 -0.0042927307 -0.0069884353 -0.9952061 -0.99059558 -0.99252449 -0.01749462 -0.073362144 0.12893616 -0.99892436 -0.99559617 -0.98693836 -0.098402276 -0.036623752 -0.052670226 -0.99927891 -0.99686121 -0.99562988 1 "sitting"
"45" 0.2785991 -0.019910142 -0.1111806 -0.99474489 -0.97949566 -0.98796152 0.87579788 0.14258451 0.32194771 -0.99514435 -0.98746407 -0.98865462 0.077934405 0.01488802 0.012086099 -0.99358183 -0.99072386 -0.99559271 -0.020494785 -0.069807644 0.1068855 -0.99735086 -0.99470232 -0.98453755 -0.099644305 -0.04146569 -0.064887957 -0.99828037 -0.99659289 -0.99499468 1 "sitting"
"46" 0.27328142 -0.011127209 -0.10634926 -0.9958764 -0.9891107 -0.99341322 0.87599536 0.14162959 0.3204761 -0.99582182 -0.99035562 -0.99414395 0.071543556 0.019647298 -0.0037668634 -0.99237312 -0.99328268 -0.9974808 -0.024644144 -0.070023979 0.092631918 -0.99853579 -0.99420193 -0.98875701 -0.099876097 -0.044019406 -0.055598998 -0.99738083 -0.99615461 -0.99520402 1 "sitting"
"47" 0.27853812 -0.016173432 -0.10970656 -0.99664602 -0.98297482 -0.99479797 0.87478155 0.14485798 0.32053935 -0.99771429 -0.98795319 -0.99730555 0.074515662 0.0092694454 -0.010291722 -0.99277413 -0.99043365 -0.99643207 -0.02633867 -0.074526058 0.092148536 -0.99878789 -0.99505467 -0.98844605 -0.10051458 -0.038433452 -0.057589453 -0.99777798 -0.99672581 -0.99565428 1 "sitting"
"48" 0.27746121 -0.017491016 -0.10635945 -0.99642843 -0.98467312 -0.99068266 0.87474639 0.14560336 0.32038708 -0.9984551 -0.9931154 -0.9960581 0.07818778 0.0090189325 0.012872972 -0.99276362 -0.989421 -0.99458711 -0.028021481 -0.07403317 0.081238251 -0.99835296 -0.99491145 -0.99213197 -0.099510909 -0.038919699 -0.058039297 -0.99821854 -0.99701461 -0.99507334 1 "sitting"
"49" 0.27394057 -0.013147584 -0.10543517 -0.99588454 -0.98801293 -0.98842553 0.8742316 0.14572717 0.32162961 -0.9956679 -0.99051998 -0.99017271 0.078228258 0.0054201733 0.0013550663 -0.99265114 -0.99365524 -0.99346867 -0.028699232 -0.075571862 0.08489365 -0.99853287 -0.99573925 -0.98903748 -0.096399772 -0.043673429 -0.046565566 -0.99821407 -0.99703634 -0.99436845 1 "sitting"
"50" 0.27930326 -0.020521383 -0.11323643 -0.99584854 -0.98070075 -0.99340381 0.87324201 0.14758583 0.32233576 -0.99695551 -0.99150766 -0.99457185 0.073647802 0.0083841697 -0.0050818355 -0.99396693 -0.99196458 -0.99592536 -0.028006084 -0.07630627 0.092467106 -0.99827112 -0.9950509 -0.98889306 -0.097373481 -0.037230976 -0.056344653 -0.99820447 -0.99623539 -0.99471796 1 "sitting"
"51" 0.2790872 -0.019083242 -0.10588882 -0.99572983 -0.97896723 -0.99139401 0.87410872 0.1456773 0.32087334 -0.99508616 -0.98598512 -0.99373603 0.06886822 0.020224021 0.0069050846 -0.99309444 -0.99078442 -0.99439585 -0.028211664 -0.072544173 0.080864612 -0.99810121 -0.99314198 -0.98862667 -0.10231372 -0.047165727 -0.05642873 -0.99742615 -0.99591829 -0.99513623 1 "sitting"
"52" 0.40347433 -0.015074404 -0.11816739 -0.91481115 -0.89523112 -0.89174811 -0.25504375 0.77465873 0.58977655 -0.78374234 -0.98892557 -0.89538076 0.023446864 0.00081333847 0.052811325 -0.94745338 -0.89722597 -0.97816837 0.031551954 -0.13199514 0.54327885 -0.95513929 -0.93360561 -0.81188693 -0.11906637 -0.048786067 -0.15544951 -0.96974195 -0.9531439 -0.97210194 1 "laying"
"53" 0.27837321 -0.020560964 -0.096824565 -0.98488259 -0.99111837 -0.98211178 -0.21014776 0.7739047 0.58511978 -0.96034279 -0.98897778 -0.96530301 0.067178002 0.015637893 -0.016186186 -0.9928808 -0.98943383 -0.99164836 0.0092571098 -0.078793121 0.25756479 -0.98117184 -0.99271925 -0.8922664 -0.11001902 -0.036833082 -0.12362339 -0.99705918 -0.99724402 -0.99760705 1 "laying"
"54" 0.27655526 -0.01786855 -0.10762126 -0.9941946 -0.99637166 -0.99561514 -0.20876483 0.77171208 0.58994727 -0.98879281 -0.99756896 -0.99600941 0.082498475 0.0083569472 0.00023418251 -0.99488847 -0.99140208 -0.99377178 -0.013424389 -0.075370833 0.10054482 -0.99013041 -0.99615343 -0.94702521 -0.10579546 -0.041967089 -0.090942119 -0.99773859 -0.9981612 -0.99421976 1 "laying"
"55" 0.27957476 -0.017275722 -0.10948053 -0.99613535 -0.99581156 -0.99868915 -0.20956406 0.77109662 0.59010467 -0.99593411 -0.99846505 -0.99877914 0.073995503 0.01378212 -0.0073714967 -0.99439037 -0.99317763 -0.99618103 -0.02495981 -0.076133944 0.043037574 -0.99618046 -0.99507117 -0.98902329 -0.10094779 -0.040474051 -0.060445163 -0.99862786 -0.99843113 -0.99459715 1 "laying"
"56" 0.27652699 -0.0168191 -0.10798311 -0.99677544 -0.99725636 -0.99542164 -0.20874807 0.77103706 0.58941397 -0.99946399 -0.99862466 -0.9967349 0.077122435 0.011380407 0.0034761282 -0.99483938 -0.99351915 -0.99515973 -0.029550387 -0.068085138 0.045946749 -0.99914537 -0.99548843 -0.99423868 -0.099619225 -0.040330798 -0.047750664 -0.99885537 -0.99813088 -0.99741291 1 "laying"
"57" 0.27812334 -0.017146303 -0.10801374 -0.99492812 -0.99835905 -0.99201143 -0.20871697 0.77129107 0.58933471 -0.99962828 -0.99920964 -0.99716251 0.075608951 0.012335201 0.0013993239 -0.99236682 -0.99271816 -0.9916361 -0.030431147 -0.073488076 0.055590694 -0.9991156 -0.99488749 -0.99445568 -0.098206257 -0.041243883 -0.046094169 -0.99865891 -0.99809354 -0.99696266 1 "laying"
"58" 0.27800654 -0.01780317 -0.10896485 -0.9944254 -0.99487263 -0.99488582 -0.20863346 0.77135108 0.58963487 -0.99921306 -0.99941854 -0.9987835 0.075657984 0.0050748365 -0.0012262263 -0.99194015 -0.99056545 -0.99262026 -0.02979633 -0.071422989 0.075146974 -0.99897201 -0.99445478 -0.9861557 -0.098012593 -0.038934592 -0.048297637 -0.9982894 -0.99746648 -0.99688103 1 "laying"
"59" 0.2802064 -0.01839626 -0.10748863 -0.99647493 -0.99406876 -0.99186131 -0.20856027 0.7707487 0.59001704 -0.99834188 -0.9963227 -0.99651469 0.073531787 0.010824142 -0.0019587455 -0.99469772 -0.99153221 -0.99342673 -0.02885418 -0.072704386 0.085061987 -0.99917255 -0.99399074 -0.9948031 -0.097892616 -0.038695857 -0.057581924 -0.99885506 -0.99797965 -0.99661481 1 "laying"
"60" 0.28182774 -0.018626474 -0.10527824 -0.99628711 -0.99219394 -0.99020448 -0.20760682 0.76992271 0.5904504 -0.99573115 -0.99797044 -0.99812413 0.073964485 0.014924539 -0.0019185204 -0.99435908 -0.9878187 -0.99296768 -0.027737135 -0.075772812 0.086471819 -0.99924487 -0.99576488 -0.99377387 -0.097968616 -0.041539573 -0.0556776 -0.99972792 -0.99896022 -0.99560969 1 "laying"
"61" 0.27672941 -0.017209548 -0.10563797 -0.99478811 -0.99103132 -0.99318722 -0.20636268 0.7692959 0.59130586 -0.9981733 -0.997281 -0.99339642 0.078027424 0.0085359751 -0.0052980182 -0.99220776 -0.98626707 -0.99270232 -0.027415438 -0.076236511 0.088193255 -0.99960009 -0.99594504 -0.99434839 -0.097854591 -0.041437227 -0.051773459 -0.99981405 -0.9985712 -0.99559588 1 "laying"
